Chleb,9,1,47,0.52
Masło,1,82,1,2.25
Jajka,12,10,0.5,1
Parówki,10,19,2,0.7
Kurczak,31,3,0,1.7
Ziemniaki,2,0,17,0.4
Pizza z serem,13,8,26,2
Serek wiejski,12,5,3,1.1
Banany,1.1,0.3,23,0.69
Migdały,21,49,21,9
Tuńczyk,24,0.8,1,6
Łosoś,19.8,13.5,0,10
Czekolada,8,30,59,3.5
Ser Gouda,24,27,2,4
Wołowina,26,12,0,6
Nasiona dyni,25,46,18,5
Marchew,1,0,10,0.5
Ananas,1,0,13,7
Brokuł,3,0,4,1
Szpinak,3,0,4,4
Burger Wołowy,25,8,42,9
Dorsz,15,2,1,7
Pstrąg,20,6,0,8
Figi,1,0,19,7
Boczek,17,25,17,5
Baranina,17,21,0,10
Kasza Jaglana,11,4,73,0.8
Ryż biały,3,0,28,0.7
Oliwa z oliwek,0,100,0,9
Jabłko,0.26,0.17,14,0.4
Sałata,0.9,0.1,3,0.31
Ogórek zielony,0.7,0.1,2.9,0.52
Pomidor,0.9,0.2,3.6,0.7
Papryka,1.3,0.5,6.6,0.62
Indyk,19.2,0.7,0,4
Wieprzowina,18,15,0,2.51
Krewetki,22,0,1,6.5
Nerkowce,18.2,27.1,46.9,5
Brzoskwinia,1,0.2,11.9,0.6
Twaróg,17.5,4,3.7,1.2
Mleko 3.2%,3.2,3.2,4.7,0.3
Mozarella,18,18.5,1.5,3.2
Makaron,12.2,1.7,71.7,2.3
Płatki owsiane,12,7.2,62,3.5
Fasola,37.8,2.88,82.8,0.6
Cebula,1.4,0.4,6.9,0.45
Smalec,0,99.5,0,0.69
Kefir,3.6,1.5,4.6,2.5
Majonez,1.5,76.3,2.9,2.4
Ketchup,2,0.6,26.7,1.1
Salami,20,36,1.8,3.5
Kakao,18.2,21.7,50.6,2.8
Pesto,3.8,43.2,3.8,6.2
Musztarda,5.6,6.1,7.8,3.59
Winogrono,0.5,0.2,17.6,0.6
Camembert,17,32,1,4.2
Czosnek,6.4,0.5,32.6,1.2
Mandarynka,1.9,0.2,11.2,0.7
Kabanos,26,48,4.4,9.5
Musli,10,12,58,3.4
Ser topiony,8,27,7,4.49
Jogurt naturalny,4.9,3,4.2,0.9
Cytryna,0.8,0.3,9.5,0.5
Chleb tost.,7,3.8,52.6,0.2
Kiełbasa śląska,15,28,0.2,2.1
Por,2.2,0.3,5.7,0.6
Kalafior,1.9,0.2,2.6,0.59
Pietruszka,2.6,0.5,10.5,0.37
Śmietana 18%,2.6,18,3.5,2.5
Ogórek kiszony,1.1,0.1,2,0.4
Seler,1.6,0.3,7.7,0.2
Mąka pszenna,11,1.6,68.8,0.3
Cukier biały,0,0,100,0.4
Kapusta kiszona,1.1,0.2,3.4,0.35
Płatki kukurydziane,8.4,2.1,81,0.8
Kasza jaglana,10.5,2.9,68.4,0.55
Kasza gryczana ,12.6,3.1,69.3,0.3
Wątróbka drobiowa,19.1,6.3,0.6,1.2
Kasza pęczak,8.3,1.8,69,0.5
Chleb dyniowy,9.4,3.6,45,0.5
Groch,2.8,0,7.7,0.25
ser twarogowy chudy,19,0,0.4,1.36
Bób,6.8,0.5,7.8,0.39
Masło orzechowe,23,53,21,2
Hummus,8,10,15,2.2
Ciecierzyca,21,5.4,38,0.4
Mleko sojowe,3,1.8,2.5,0.6
Mleko kokosowe,2.1,18,8.1,0.9
Jogurt typu greckiego,3.6,10,5.2,1
Ser cheddar,25,34.4,0.1,3
Serek wiejski lekki ,11,5,2,1
Wafle ryżowe,9.4,4.3,74,2.1
Makaron ryżowy,6.9,0.6,81,2.4
Makaron sojowy,0.5,0,84.92,2.6
Musli ,7.9,2.5,65,1.2
Kiełki rodzkiewki,4.7,1.2,5.3,0.4
Makrela wędzona,20.7,15.5,0,1.5
Dorsz,17.7,0.7,0,2
Mintaj,16.6,0.6,0,1.7
Śledź po kaszubsku,10.3,32,4.8,0.6
Sardynki w oleju,14,24,5,0.8
Kiełbasa krakowska ,25.6,24,0,1.8
Jagody,0.8,0.2,12.2,3
Borówki amerykańskie ,1,0,14,2.7
Pestki dyni ,24.5,45.8,18,1.5
Orzech laskowy,14.4,63,14.9,0.9
Orzech włoski,16,60.3,18,1.1
Orzech archaidowy,25,46,19.2,1.7
Słonecznik ,24.4,43.7,24.6,0.8
Sezam,23.2,60,10,1.6
Parmezan,41.5,32,0.1,6.1